year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1979.00,27.7036,30.1709,32.0455,32.9513,32.2945,29.7875,23.6610,18.4091,16.9107,17.8535,20.1235,23.2010
1980.00,26.5299,29.1541,31.1279,32.2346,31.8074,29.1523,22.8645,17.7900,16.3161,17.3245,19.4243,22.4513
1981.00,25.3175,27.7703,29.8183,30.7443,30.0339,26.8173,20.1727,14.6351,12.8082,13.9650,16.1448,19.1146
1982.00,22.6329,25.4864,27.6531,28.9682,28.3020,25.6161,19.6647,14.8344,13.5077,14.9113,17.7657,21.0663
1983.00,24.4571,27.2786,29.3852,30.3864,30.1703,27.7582,21.8543,16.7381,15.1995,16.4269,18.9541,21.9620
1984.00,24.7330,27.2087,29.1508,30.3299,29.8162,27.0926,20.9410,16.1478,14.6346,15.6635,18.0968,21.2919
1985.00,24.6393,27.2635,29.4531,30.8644,30.5172,27.4881,20.7678,16.0119,14.5826,15.8377,18.2885,21.2849
1986.00,24.6783,27.5181,29.7704,30.9342,30.4565,27.8608,21.9531,17.2929,16.0759,17.3784,19.8567,22.7380
1987.00,26.0250,28.8396,30.6631,31.7899,31.5025,28.8143,22.2745,16.7083,15.3531,16.7034,19.2547,22.2986
1988.00,25.4710,28.1318,30.2831,31.1998,30.2128,27.2299,21.0979,16.3285,14.9868,16.2460,18.9252,22.1252
1989.00,25.3632,27.8374,29.4237,30.1117,29.6208,27.1223,21.0746,16.1984,14.7700,15.9412,18.6544,21.7968
1990.00,24.9667,27.6323,29.3929,29.9071,28.9050,25.4937,19.5152,14.8848,13.8148,15.2175,18.2580,21.5219
1991.00,24.6890,27.4774,29.6649,30.7418,30.0054,26.7916,20.0142,15.0054,13.5928,15.0166,17.6880,20.8942
1992.00,24.1829,26.9057,28.6799,29.6422,29.2586,26.8494,20.8987,15.9152,15.0778,16.5796,19.1572,22.3283
1993.00,25.2999,27.7204,29.4620,30.4275,29.5750,25.8048,18.5088,13.4793,12.4415,13.9638,16.9826,20.3982
1994.00,23.8529,26.6726,28.7138,29.7346,29.3124,26.5515,20.0296,14.8954,13.8554,15.1958,17.9405,21.2112
1995.00,24.1992,26.4310,27.9526,28.4467,27.3105,23.8099,17.1863,12.4376,11.2360,12.1275,14.8368,18.1783
1996.00,21.6476,24.4735,26.3869,27.4454,27.2553,24.8656,19.2821,14.8961,13.9494,15.3936,17.3983,20.1518
1997.00,23.4973,26.3153,28.3166,29.3703,28.7412,25.7158,19.2424,14.3811,13.2284,14.1989,16.6152,19.9156
1998.00,23.4724,26.3547,28.2999,29.4092,28.8225,25.3607,18.5768,13.2860,11.6258,12.8121,15.6400,18.9510
1999.00,22.4284,25.3244,27.2989,28.4497,27.9238,24.8814,18.5172,13.0764,11.0453,12.4329,15.3774,18.3938
2000.00,21.7121,24.2968,26.1742,27.1530,26.6892,23.8812,17.4295,12.4216,11.0843,12.3128,14.9013,17.9516
2001.00,21.2591,24.1282,26.4136,27.6319,26.8701,23.8275,17.9008,13.3970,12.2752,13.3210,15.7637,18.6046
2002.00,21.8374,24.7933,26.6550,27.4284,26.8225,23.6846,17.1639,12.1274,10.8463,11.8898,14.5865,17.8441
2003.00,21.2362,24.1274,26.3080,27.2437,26.2730,22.9111,16.4857,11.4962,10.2844,11.2044,13.6864,16.8477
2004.00,20.0505,22.6554,24.8091,25.7501,25.3076,22.7056,16.5775,11.5155,10.0369,11.2470,13.9663,17.2380
2005.00,20.2536,22.6673,24.8197,26.0451,25.3545,21.6174,15.2248,10.7080,9.28271,10.1803,12.8474,15.9831
2006.00,19.3072,22.0361,24.0514,25.1049,24.3367,20.9035,14.6923,10.4043,9.11296,9.81036,12.2633,15.0395
2007.00,18.3221,20.8131,22.9949,23.7523,23.0941,19.1904,12.1189,7.61549,6.52591,7.10729,10.4039,14.1674
2008.00,18.5153,21.5266,23.8235,24.9826,24.1219,20.5757,14.1535,9.20149,7.24988,8.26679,11.7004,15.1345
2009.00,18.7936,21.6817,23.7936,24.9437,23.8799,19.7322,12.8331,8.27151,6.92464,7.62983,10.7594,14.1837
2010.00,17.6668,20.5805,23.0818,24.0969,22.2227,17.1422,10.2442,5.92726,4.74188,6.19760,9.47960,12.9251
2011.00,16.2058,19.3205,21.3901,22.5001,21.1387,16.4998,9.54632,5.48945,4.48006,5.71879,9.25039,12.9888
2012.00,16.8856,19.5853,21.9241,23.1188,21.7144,16.0019,9.26363,4.96376,3.78746,5.00064,8.21690,12.1327
2013.00,15.7987,19.3178,21.9637,23.1221,21.8649,17.5377,10.5384,6.39427,5.47857,6.95325,10.0755,13.7866
2014.00,17.4066,19.8486,21.8044,22.9338,21.9061,17.6804,11.9549,8.14976,6.97443,8.16141,11.4810,15.0720
2015.00,18.4451,21.4624,23.2126,24.2297,23.0269,18.5572,11.6486,7.08608,5.85232,7.01343,10.2985,14.0008
2016.00,17.1846,19.5924,21.5243,22.4590,21.0259,16.4926,10.2570,5.94067,4.52977,5.51088,7.83417,11.2057
2017.00,14.6415,17.3656,19.5763,20.6644,19.8344,15.3999,9.14116,5.44981,4.67947,6.10775,9.17863,12.6380
2018.00,16.0224,18.6392,20.8441,22.2448,21.4294,17.2061,10.2951,6.20315,5.08131,5.77587,9.42557,13.1720
2019.00,16.9124,19.7808,21.7864,22.3728,21.0043,15.9050,8.90327,5.06818,4.18838,5.30695,8.53780,12.4251
2020.00,16.3782,19.5663,21.9476,22.8021,21.4572,16.6596,9.29499,5.30796,4.15765,4.95634,7.93471,11.7987
2021.00,15.6684,19.1211,21.6229,22.4608,21.5162,16.5320,9.62458,5.57477,4.76263,6.13578,9.38558,13.3077
2022.00,16.9985,19.7437,21.7330,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
